assembly,name,member_id
1,강기문,C1J76609
1,강달수,41F70646
1,강선명,KAM9491G
1,강욱중,RJD64678
1,곽상훈,7GP9235Q
1,구중회,10V43435
1,권병노,KB12672B
1,권태욱,TQQ62610
1,권태희,CW38252I
1,김경도,G7Z2566A
1,김경배,KIL1823P
1,김광준,8M43642N
1,김교중,4886853P
1,김교현,3287929R
1,김기철,T5W7400K
1,김덕열,PY281290
1,김도연,02E7012K
1,김동원,CIY4372L
1,김동준,KJX86715
1,김명동,NX51740P
1,김문평,OE47479L
1,김병회,1II4388O
1,김봉두,09N5003T
1,김봉조,Z988261X
1,김상덕,IAQ9588L
1,김상돈,B5N4494M
1,김상순,RUC3702N
1,김상호,90A5013G
1,김수선,GV84780I
1,김약수,4RH83902
1,김영기,RVV6209L
1,김영동,NKE36520
1,김옥주,VM08397T
1,김용재,IKI92758
1,김용현,O3Q35065
1,김용화,V691403J
1,김우식,XEK2350H
1,김웅권,D831681G
1,김웅진,4MX48617
1,김익기,Q0G1675P
1,김익노,ALP55797
1,김인식,SNQ8811F
1,김장열,4244350V
1,김재학,X898412T
1,김종문,MBS7653Q
1,김종선,A2O2132V
1,김준연,B7963485
1,김중기,1038937L
1,김진구,IPD2759Q
1,김철,QW04133V
1,김철수,94P92684
1,김태수,8OJ3727G
1,김효석,27P1869Q
1,나용균,1C747415
1,남궁현,8UK6500D
1,노일환,K5R42761
1,문시환,ZQS5105N
1,민경식,XG989909
1,박기운,UC77337T
1,박상영,LLN4144A
1,박순석,4J092952
1,박우경,FB325823
1,박윤원,F5J8557E
1,박종남,UEL8051S
1,박종환,IXD6351Y
1,박준,P818288Z
1,박찬현,WNK5943X
1,박해극,MTR5392Y
1,박해정,0KQ3355X
1,배중혁,TPN6918O
1,배헌,3GB9329B
1,백관수,PW120859
1,백남채,68D7710B
1,백형남,Y8655773
1,서상일,X4G3550I
1,서성달,RDA3916Z
1,서순영,SGS8180L
1,서용길,L4F6267A
1,서우석,D0A1777A
1,서이환,W8O5974N
1,서정희,61W2795L
1,성낙서,J5W7663N
1,손재학,CIO9510I
1,송봉해,IC95386J
1,송진백,JT34368K
1,송창식,M6B2431M
1,송필만,M457535F
1,신광균,MT48752N
1,신방현,OCQ1735D
1,신상학,MOI3885T
1,신성균,DUB2847E
1,신익희,EWG10700
1,신현돈,FRL5031A
1,신현모,8F74681A
1,안준상,RQT2434U
1,양병직,CHU7723J
1,연병호,WBD1789R
1,오기열,L6C9595I
1,오석주,IM97349U
1,오용국,B841723D
1,오택관,5JZ33241
1,오택열,K374753S
1,원용균,QPC91602
1,원용한,J2M9791M
1,원장길,7Q415979
1,유래완,SG236255
1,유성갑,7KU80352
1,유준상,L9J2509Z
1,유진홍,5WD24093
1,유홍열,D1X9690Y
1,육홍균,MQQ9037E
1,윤병구,N618979E
1,윤석구,EW13604F
1,윤재근,5PO5280B
1,윤재욱,K5961516
1,윤치영,41C1267K
1,이강우,MJL1287O
1,이귀수,LU08466W
1,이남규,L1K2418O
1,이만근,P3E4403V
1,이문원,BRK2070T
1,이범교,UIO8021S
1,이병관,N848193Y
1,이병국,T2D85501
1,이상돈,ZNS6961Q
1,이석,6683015R
1,이석주,6511987K
1,이성득,81X3635Z
1,이성우,OLX9518I
1,이성학,45W41878
