"member_id","assembly","name","name_hanja","name_eng","party","party_elected","district","district_type","committees","gender","birth_date","seniority","n_bills","n_bills_lead"
"XQ98168F",20,"강길부","姜吉夫","KANG GHILBOO","무소속","무소속","울산 울주군","constituency","산업통상자원중소벤처기업위원회, 4차 산업혁명 특별위원회, 예산결산특별위원회, 교육문화체육관광위원회","M",1942-06-05,4,312,21
"60490713",20,"강병원","姜炳遠","KANG BYUNGWON","더불어민주당","더불어민주당","서울 은평구을","constituency","","M",1971-07-09,2,1078,94
"IH436704",20,"강석진","姜錫振","KANG SEOGJIN","자유한국당","새누리당","경남 산청군함양군거창군합천군","constituency","농림축산식품해양수산위원회, 국회운영위원회, 보건복지위원회, 예산결산특별위원회","M",1959-12-07,1,694,53
"8I61593E",20,"강석호","姜碩鎬","KANG SEOKHO","자유한국당","새누리당","경북 영양군영덕군봉화군울진군","constituency","농림축산식품해양수산위원회, 외교통일위원회, 정보위원회, 정치개혁 특별위원회, 행정안전위원회, 안전행정위원회","M",1955-12-03,3,583,43
"TOU1222X",20,"강창일","姜昌一","KANG CHANGIL","더불어민주당","더불어민주당","제주 제주시갑","constituency","과학기술정보방송통신위원회, 행정안전위원회, 예산결산특별위원회, 헌법개정 특별위원회, 외교통일위원회","M",1952-01-28,4,1131,89
"9WQ7845Z",20,"강효상","姜孝祥","KHANG HYOSHANG","자유한국당","새누리당","비례대표","proportional","대법관(노태악) 임명동의에 관한 인사청문특별위원회, 법제사법위원회, 국회운영위원회, 공공부문 채용비리 의혹과 관련된 국정조사특별위원회, 환경노동위원회, 사법개혁특별위원회, 재난안전 대책 특별위원회, 청년미래 특별위원회, 과학기술정보방송통신위원회, 국무총리(이낙연) 임명동의에 관한 인사청문특별위원회, 헌법개정 특별위원회, 미래창조과학방송통신위원회","M",1961-03-01,1,393,74
"TRE2429O",20,"강훈식","姜勳植","KANG HOONSIK","더불어민주당","더불어민주당","충남 아산시을","constituency","정무위원회","M",1973-10-24,3,1478,75
"23D73143",20,"경대수","慶大秀","KYEONG DAESOO","자유한국당","새누리당","충북 증평군진천군음성군","constituency","농림축산식품해양수산위원회, 예산결산특별위원회, 국무총리(이낙연) 임명동의에 관한 인사청문특별위원회, 정치발전 특별위원회, 국방위원회","M",1958-03-18,2,932,55
"6V37131U",20,"고용진","高榕진","KOH YONGJIN","더불어민주당","더불어민주당","서울 노원구갑","constituency","","M",1964-08-06,2,1284,78
"Q6A9034Q",20,"곽대훈","郭大勳","KWAK DAEHOON","자유한국당","새누리당","대구 달서구갑","constituency","에너지 특별위원회, 산업통상자원중소벤처기업위원회, 예산결산특별위원회, 지방재정·분권 특별위원회, 산업통상자원위원회","M",1955-06-05,1,1054,64
"MHK9919B",20,"곽상도","郭尙道","KWAK SANGDO","자유한국당","새누리당","대구 중구남구","constituency","","M",1959-12-23,2,446,69
"RH454994",20,"권미혁","權美赫","KWON MIHYUK","더불어민주당","더불어민주당","비례대표","constituency","예산결산특별위원회, 정치개혁 특별위원회, 국회운영위원회, 윤리특별위원회, 행정안전위원회, 헌법개정 특별위원회, 대법관(박정화·조재연) 임명동의에 관한 인사청문특별위원회, 저출산·고령화대책 특별위원회, 보건복지위원회, 여성가족위원회","F",1959-01-10,1,1155,129
"O149331C",20,"권석창","權錫昌","KWON SOKCHANG","새누리당","새누리당","충북 제천시단양군","constituency","재난안전 대책 특별위원회, 헌법재판소장(이진성) 임명동의에 관한 인사청문특별위원회, 국회운영위원회, 농림축산식품해양수산위원회, 예산결산특별위원회","M",1966-08-06,1,460,20
"GDG1847Z",20,"권성동","權性東","KWEON SEONGDONG","자유한국당","새누리당","강원 강릉시","constituency","보건복지위원회","M",1960-04-29,5,590,40
"YKW37422",20,"권은희","權垠希","KWON EUNHEE","바른미래당","국민의당","광주 광산구을","constituency","","F",1974-02-15,3,551,64
"C7E79345",20,"권칠승","權七勝","KWON CHILSEUNG","더불어민주당","더불어민주당","경기 화성시병","constituency","행정안전위원회","M",1965-11-18,3,1827,119
"QZR19240",20,"금태섭","琴泰燮","KEUM TAESUP","더불어민주당","더불어민주당","서울 강서구갑","constituency","대법관(노태악) 임명동의에 관한 인사청문특별위원회, 윤리특별위원회, 공공부문 채용비리 의혹과 관련된 국정조사특별위원회, 농림축산식품해양수산위원회, 대법관(김선수·노정희·이동원) 임명동의에 관한 인사청문특별위원회, 국회운영위원회, 감사원장(최재형) 임명동의에 관한 인사청문특별위원회, 헌법재판소장(김이수) 임명동의에 관한 인사청문특별위원회, 저출산·고령화대책 특별위원회, 예산결산특별위원회, 가습기살균제 사고 진상규명과 피해구제 및 재발방지 대책마련을 위한 국정조사특별위원회, 법제사법위원회, 여성가족위원회","M",1967-09-29,1,817,76
"B7R2742J",20,"기동민","奇東旻","KI DONGMIN","더불어민주당","더불어민주당","서울 성북구을","constituency","","M",1966-02-23,2,1605,116
"PP08673W",20,"김경수","金慶洙","KIM KYOUNGSOO","더불어민주당","더불어민주당","경남 김해시을","constituency","산업통상자원중소벤처기업위원회, 국회운영위원회, 산업통상자원위원회","M",1967-12-01,1,281,53
"YVN3115U",20,"김경진","金京鎭","KIM KYUNGJIN","국민의당","국민의당","광주 북구갑","constituency","대법관(김상환) 임명동의에 관한 인사청문특별위원회, 헌법재판소 재판관 선출에 관한 인사청문특별위원회, 감사원장(최재형) 임명동의에 관한 인사청문특별위원회, 국회운영위원회, 과학기술정보방송통신위원회, 예산결산특별위원회, 헌법재판소장(김이수) 임명동의에 관한 인사청문특별위원회, 박근혜 정부의 최순실 등 민간인에 의한 국정농단 의혹사건 진상규명을 위한 국정조사특별위원회, 미래창조과학방송통신위원회","M",1966-07-14,1,1426,78
"ZKU88693",20,"김경협","金炅俠","KIM KYUNGHYUP","더불어민주당","더불어민주당","경기 부천시원미구갑","constituency","","M",1962-11-07,3,1291,67
"W168182V",20,"김관영","金寬永","KIM KWANYOUNG","국민의당","국민의당","전북 군산시","constituency","산업통상자원중소벤처기업위원회, 정보위원회, 예산결산특별위원회, 헌법개정 및 정치개혁 특별위원회, 헌법개정 특별위원회, 평창동계올림픽 및 국제경기대회지원 특별위원회, 국회상임위원회 위원정수에 관한 규칙 개정 특별위원회, 국회운영위원회, 정무위원회","M",1969-11-15,2,1593,153
