"name","member_id","year","assembly","party","camp","seniority","n_seminars","n_cross_party","cross_party_ratio","avg_coalition_size","is_governing","is_female","is_proportional","is_seoul","province","total_terms","n_bills_led"
"강경숙","T2T8225E",2024,22,"조국혁신당","기타",NA,37,5,0.1351,8.46,FALSE,NA,NA,NA,NA,NA,74
"강경숙","T2T8225E",2025,22,"조국혁신당","기타",NA,43,14,0.3256,10.67,FALSE,NA,NA,NA,NA,NA,74
"강기갑","X0R95148",2004,17,"민주노동당","진보계",1,3,0,0,1.33,FALSE,FALSE,TRUE,FALSE,"비례대",2,32
"강기갑","X0R95148",2005,17,"민주노동당","진보계",1,12,4,0.3333,3.25,FALSE,FALSE,TRUE,FALSE,"비례대",2,32
"강기갑","X0R95148",2006,17,"민주노동당","진보계",1,6,1,0.1667,1.5,FALSE,FALSE,TRUE,FALSE,"비례대",2,32
"강기갑","X0R95148",2007,17,"민주노동당","진보계",1,8,0,0,1.25,FALSE,FALSE,TRUE,FALSE,"비례대",2,32
"강기갑","X0R95148",2008,18,"민주노동당","진보계",2,13,3,0.2308,1.38,FALSE,FALSE,TRUE,FALSE,"비례대",2,72
"강기갑","X0R95148",2009,18,"민주노동당","진보계",2,8,4,0.5,2,FALSE,FALSE,TRUE,FALSE,"비례대",2,72
"강기갑","X0R95148",2010,18,"민주노동당","진보계",2,14,5,0.3571,1.64,FALSE,FALSE,TRUE,FALSE,"비례대",2,72
"강기갑","X0R95148",2011,18,"민주노동당","진보계",2,25,16,0.64,3.04,FALSE,FALSE,TRUE,FALSE,"비례대",2,72
"강기갑",NA,2012,19,"민주노동당","진보계",3,3,1,0.3333,1.33,FALSE,FALSE,TRUE,FALSE,"비례대",2,0
"강기윤","14M56632",2013,19,"새누리당","보수계",1,2,2,1,3,TRUE,FALSE,FALSE,FALSE,"경남",2,165
"강기윤","14M56632",2014,19,"새누리당","보수계",1,2,0,0,1.5,TRUE,FALSE,FALSE,FALSE,"경남",2,165
"강기윤","14M56632",2015,19,"새누리당","보수계",1,1,0,0,4,TRUE,FALSE,FALSE,FALSE,"경남",2,165
"강기윤","14M56632",2020,21,"국민의힘","보수계",3,1,1,1,51,FALSE,FALSE,FALSE,FALSE,"경남",2,184
"강기윤","14M56632",2021,21,"국민의힘","보수계",3,1,0,0,8,FALSE,FALSE,FALSE,FALSE,"경남",2,184
"강기윤","14M56632",2022,21,"국민의힘","보수계",3,3,1,0.3333,4.33,TRUE,FALSE,FALSE,FALSE,"경남",2,184
"강기윤","14M56632",2023,21,"국민의힘","보수계",3,26,19,0.7308,6.35,TRUE,FALSE,FALSE,FALSE,"경남",2,184
"강기윤",NA,2024,22,"국민의힘","보수계",4,1,0,0,1,TRUE,FALSE,FALSE,FALSE,"경남",2,0
"강기정","1PK82111",2005,17,"민주당","민주계",1,1,0,0,1,TRUE,FALSE,FALSE,FALSE,"광주광",3,24
"강기정","1PK82111",2006,17,"민주당","민주계",1,3,0,0,1,TRUE,FALSE,FALSE,FALSE,"광주광",3,24
"강기정","1PK82111",2007,17,"민주당","민주계",1,3,0,0,1,TRUE,FALSE,FALSE,FALSE,"광주광",3,24
"강기정","1PK82111",2008,18,"민주당","민주계",2,3,0,0,1,FALSE,FALSE,FALSE,FALSE,"광주광",3,44
"강기정","1PK82111",2009,18,"민주당","민주계",2,2,1,0.5,1.5,FALSE,FALSE,FALSE,FALSE,"광주광",3,44
"강기정","1PK82111",2010,18,"민주당","민주계",2,8,3,0.375,2.38,FALSE,FALSE,FALSE,FALSE,"광주광",3,44
"강기정","1PK82111",2012,19,"민주당","민주계",3,3,1,0.3333,3.67,FALSE,FALSE,FALSE,FALSE,"광주광",3,70
"강기정","1PK82111",2013,19,"민주당","민주계",3,7,0,0,5,FALSE,FALSE,FALSE,FALSE,"광주광",3,70
"강기정","1PK82111",2014,19,"새정치민주연합","민주계",3,2,0,0,3,FALSE,FALSE,FALSE,FALSE,"광주광",3,70
"강기정","1PK82111",2015,19,"새정치민주연합","민주계",3,4,1,0.25,15.25,FALSE,FALSE,FALSE,FALSE,"광주광",3,70
"강길부","XQ98168F",2006,17,"한나라당","보수계",1,4,0,0,1,FALSE,FALSE,FALSE,FALSE,"울산광",4,23
"강길부","XQ98168F",2007,17,"한나라당","보수계",1,2,0,0,1,FALSE,FALSE,FALSE,FALSE,"울산광",4,23
"강길부","XQ98168F",2009,18,"한나라당","보수계",2,1,0,0,1,TRUE,FALSE,FALSE,FALSE,"울산광",4,16
"강길부","XQ98168F",2011,18,"한나라당","보수계",2,2,0,0,1.5,TRUE,FALSE,FALSE,FALSE,"울산광",4,16
"강길부","XQ98168F",2012,19,"새누리당","보수계",3,1,0,0,1,TRUE,FALSE,FALSE,FALSE,"울산광",4,30
"강길부","XQ98168F",2013,19,"새누리당","보수계",3,11,5,0.4545,3.64,TRUE,FALSE,FALSE,FALSE,"울산광",4,30
"강길부","XQ98168F",2014,19,"새누리당","보수계",3,1,0,0,2,TRUE,FALSE,FALSE,FALSE,"울산광",4,30
"강길부","XQ98168F",2016,20,"새누리당","보수계",4,5,1,0.2,4.6,TRUE,FALSE,FALSE,FALSE,"울산광",4,21
"강길부","XQ98168F",2017,20,"자유한국당","보수계",4,3,0,0,2,FALSE,FALSE,FALSE,FALSE,"울산광",4,21
