"member_id","year","name","total_assets","total_debt","net_worth","real_estate","building","land","deposits","stocks","n_properties","has_seoul_property","has_gangnam_property"
"0135473I",2015,"이군현",1856381,304644,1551737,1373000,1373000,0,160576,64074,5,TRUE,TRUE
"0135473I",2016,"이군현",1807027,330719,1476308,1514998,1514998,0,141139,24233,5,TRUE,TRUE
"0135473I",2017,"이군현",1855777,321020,1534757,1597000,1597000,0,154218,41873,5,TRUE,TRUE
"04T3751T",2015,"남인순",692729,217893,474836,460000,460000,0,158007,0,2,TRUE,TRUE
"04T3751T",2016,"남인순",755380,197000,558380,460000,460000,0,144136,0,2,TRUE,TRUE
"04T3751T",2017,"남인순",1006878,437000,569878,7e+05,7e+05,0,152423,0,2,TRUE,TRUE
"04T3751T",2018,"남인순",1128603,420000,708603,730000,730000,0,192172,0,2,TRUE,TRUE
"04T3751T",2019,"남인순",885509,2e+05,685509,570000,570000,0,189336,0,3,TRUE,TRUE
"04T3751T",2020,"남인순",982917,215550,767367,570000,570000,0,285704,0,2,TRUE,TRUE
"04T3751T",2021,"남인순",1124112,448572,675540,740000,740000,0,268866,0,3,TRUE,TRUE
"04T3751T",2022,"남인순",1082012,423462,658550,740000,740000,0,223846,0,1,TRUE,TRUE
"04T3751T",2023,"남인순",946894,270000,676894,590000,590000,0,255560,0,1,TRUE,TRUE
"04T3751T",2024,"남인순",878914,270000,608914,590000,590000,0,187110,0,1,TRUE,TRUE
"05179989",2015,"유승우",2246313,1065000,1181313,1967916,1890000,77916,202326,0,3,TRUE,TRUE
"0582116P",2015,"이우현",1354696,293030,1061666,475105,50000,425105,311079,8928,1,FALSE,FALSE
"0582116P",2016,"이우현",1376099,347430,1028669,474289,4e+05,74289,265371,16657,2,FALSE,FALSE
"06571503",2016,"정태옥",1973919,781331,1192588,1640000,1640000,0,231265,24520,2,TRUE,TRUE
"06571503",2017,"정태옥",2211163,779134,1432029,1768000,1768000,0,295714,48171,2,TRUE,TRUE
"06571503",2018,"정태옥",2631428,1212152,1419276,2226000,2226000,0,312258,4206,4,TRUE,TRUE
"06571503",2019,"정태옥",2861355,926000,1935355,2427843,2427843,0,416991,6309,5,TRUE,TRUE
"0667420L",2015,"이윤석",2636880,1624548,1012332,2494350,2417203,77147,27067,0,5,TRUE,FALSE
"0698755I",2024,"이해민",5685539,0,5685539,2728684,2728684,0,2789800,0,4,FALSE,FALSE
"06K9071F",2015,"김제남",459371,197319,262052,394000,394000,0,52515,0,3,TRUE,FALSE
"06L2365K",2015,"홍일표",4737459,258500,4478959,2492611,1998527,494084,1391333,415515,29,TRUE,FALSE
"06L2365K",2016,"홍일표",5049171,417500,4631671,2482783,1983471,499312,1972285,99353,28,TRUE,FALSE
"06L2365K",2017,"홍일표",5288357,417500,4870857,2603585,2095646,507939,2087846,98203,29,TRUE,FALSE
"06L2365K",2018,"홍일표",5486321,417500,5068821,2841528,2304434,537094,2064643,122593,28,TRUE,FALSE
"06L2365K",2019,"홍일표",5588410,157500,5430910,2818115,2258539,559576,2179926,128478,29,TRUE,FALSE
"06X3845L",2016,"김종석",7103880,278370,6825510,3721516,2753750,967766,3084806,0,5,TRUE,FALSE
"06X3845L",2017,"김종석",7298845,317469,6981376,4026630,3024000,1002630,2968592,0,4,TRUE,FALSE
"06X3845L",2018,"김종석",7634771,333387,7301384,4386912,3351000,1035912,2922301,0,4,TRUE,FALSE
"06X3845L",2019,"김종석",4665229,298771,4366458,2757907,2529000,228907,1681440,0,3,TRUE,FALSE
"0767470D",2020,"이낙연",4209143,1200000,3009143,3345839,2650000,695839,792674,0,3,TRUE,FALSE
"0827740Q",2015,"노웅래",844414,321811,522603,610000,610000,0,191398,6160,2,TRUE,FALSE
"0827740Q",2016,"노웅래",897945,308382,589563,610000,610000,0,215380,47565,3,TRUE,FALSE
"0827740Q",2017,"노웅래",987420,310036,677384,610000,610000,0,260405,86185,2,TRUE,FALSE
"0827740Q",2018,"노웅래",1214414,368836,845578,615000,615000,0,561880,8245,2,TRUE,FALSE
"0827740Q",2019,"노웅래",1507364,402434,1104930,666000,666000,0,547655,7999,2,TRUE,FALSE
"0827740Q",2020,"노웅래",1542253,337546,1204707,756000,756000,0,521635,7267,2,TRUE,FALSE
"0827740Q",2021,"노웅래",1756715,344403,1412312,980000,980000,0,561895,7018,2,TRUE,FALSE
"0827740Q",2022,"노웅래",2088405,372912,1715493,1175000,1175000,0,483792,7276,2,TRUE,FALSE
"0827740Q",2023,"노웅래",1732720,558621,1174099,870000,870000,0,445191,7008,2,TRUE,FALSE
"09I2323E",2016,"김한정",1456469,620000,836469,930000,930000,0,488868,0,4,TRUE,FALSE
"09I2323E",2017,"김한정",1868698,1099962,768736,1234000,1234000,0,487706,0,9,TRUE,FALSE
"09I2323E",2018,"김한정",1861084,1086989,774095,1224000,1224000,0,192687,254355,5,TRUE,FALSE
"09I2323E",2019,"김한정",2223500,1074158,1149342,1578000,1578000,0,212591,321953,4,TRUE,FALSE
"09I2323E",2020,"김한정",2279274,150000,2129274,1936360,1056000,880360,265921,0,4,TRUE,FALSE
"09I2323E",2021,"김한정",1943115,150000,1793115,1585360,705000,880360,268777,0,2,FALSE,FALSE
"09I2323E",2022,"김한정",2037407,130000,1907407,1682360,802000,880360,263978,0,2,FALSE,FALSE
"09I2323E",2023,"김한정",1877933,110000,1767933,1494360,614000,880360,292100,0,2,FALSE,FALSE
"0A02586D",2015,"박혜자",3079615,439678,2639937,1530971,1484510,46461,1251876,0,4,TRUE,FALSE
"0AI7568W",2016,"장정숙",837451,696210,141241,676000,676000,0,133839,0,3,TRUE,FALSE
"0AI7568W",2017,"장정숙",953561,739656,213905,736617,736617,0,169059,0,5,TRUE,FALSE
"0AI7568W",2018,"장정숙",999853,727717,272136,741617,741617,0,179860,0,5,TRUE,FALSE
"0AI7568W",2019,"장정숙",1022163,661213,360950,761000,761000,0,147118,0,6,TRUE,FALSE
"0E97245Y",2016,"정양석",1320489,0,1320489,404500,281000,123500,855034,44883,2,TRUE,FALSE
"0E97245Y",2017,"정양석",1562014,0,1562014,419500,296000,123500,1063845,68918,2,TRUE,FALSE
"0E97245Y",2018,"정양석",1631908,0,1631908,419500,296000,123500,1108351,94182,2,TRUE,FALSE
"0E97245Y",2019,"정양석",2095415,0,2095415,448000,448000,0,1599525,32441,3,TRUE,FALSE
"0GF6251P",2016,"정유섭",5687187,0,5687187,2543938,1236339,1307599,2431406,133650,3,TRUE,TRUE
"0GF6251P",2017,"정유섭",6951170,637760,6313410,1738972,1246339,492633,3974217,26498,3,TRUE,TRUE
"0GF6251P",2018,"정유섭",6896556,670000,6226556,1716733,1246339,470394,1251193,3026799,3,TRUE,TRUE
"0GF6251P",2019,"정유섭",3698292,676543,3021749,858313,446339,411974,1679691,13356,3,TRUE,TRUE
"0ID22746",2015,"이진복",1006507,11774,994733,596000,596000,0,323895,0,2,TRUE,FALSE
"0ID22746",2016,"이진복",1135312,68575,1066737,670000,670000,0,363808,0,3,TRUE,FALSE
"0ID22746",2017,"이진복",1451604,235426,1216178,922000,922000,0,420834,0,4,TRUE,FALSE
"0ID22746",2018,"이진복",1475155,153591,1321564,940000,940000,0,416432,0,2,TRUE,FALSE
"0ID22746",2019,"이진복",1500229,106729,1393500,931000,931000,0,489464,0,2,TRUE,FALSE
"0PK7354M",2020,"서동용",842579,248130,594449,403676,370000,33676,379182,0,2,FALSE,FALSE
"0PK7354M",2021,"서동용",1027764,183842,843922,418814,385000,33814,460137,19824,2,FALSE,FALSE
"0PK7354M",2022,"서동용",1136340,158500,977840,448928,415000,33928,539718,16083,3,TRUE,FALSE
"0PK7354M",2023,"서동용",1062283,131612,930671,387427,385000,2427,575125,18494,3,TRUE,FALSE
"0R68099X",2020,"이수진(비례대표)",706128,15226,690902,1e+05,1e+05,0,501571,0,1,TRUE,FALSE
"0R68099X",2021,"이수진(비례대표)",926511,111411,815100,125000,125000,0,453894,0,2,TRUE,FALSE
"0R68099X",2022,"이수진(비례대표)",1046193,107526,938667,125000,125000,0,534828,1,3,TRUE,FALSE
"0R68099X",2023,"이수진(비례대표)",1189089,322102,866987,445000,445000,0,431719,0,4,TRUE,FALSE
"0R68099X",2024,"이수진",1214062,93134,1120928,624600,624600,0,359719,0,5,TRUE,FALSE
"0VU8517U",2016,"황희",500721,372837,127884,370000,370000,0,49426,5023,2,TRUE,FALSE
"0VU8517U",2017,"황희",561067,295123,265944,4e+05,4e+05,0,77327,0,3,TRUE,FALSE
"0VU8517U",2018,"황희",610284,235960,374324,4e+05,4e+05,0,85868,0,3,TRUE,FALSE
"0VU8517U",2019,"황희",695872,193856,502016,450000,450000,0,135224,0,3,TRUE,FALSE
"0VU8517U",2020,"황희",685663,76176,609487,4e+05,4e+05,0,138039,0,2,TRUE,FALSE
"0VU8517U",2022,"황희",819143,70000,749143,4e+05,4e+05,0,234303,0,2,TRUE,FALSE
"0VU8517U",2023,"황희",832045,70000,762045,4e+05,4e+05,0,273795,0,1,TRUE,FALSE
"0VU8517U",2024,"황희",805633,70000,735633,420000,420000,0,293450,0,2,TRUE,FALSE
"0W194007",2015,"김영주",1715796,0,1715796,483000,483000,0,1057791,0,4,TRUE,FALSE
"0W194007",2016,"김영주",2138453,250000,1888453,803000,803000,0,1193241,0,4,TRUE,FALSE
"0W194007",2018,"김영주",2159472,0,2159472,578000,578000,0,1155959,0,3,TRUE,FALSE
"0W194007",2019,"김영주",2272623,0,2272623,678000,678000,0,1238513,0,3,TRUE,FALSE
"0W194007",2020,"김영주",2651701,97349,2554352,793000,793000,0,1397477,0,2,TRUE,FALSE
"0W194007",2021,"김영주",2850608,65018,2785590,1007000,1007000,0,1499696,0,2,TRUE,FALSE
"0W194007",2022,"김영주",3166397,31604,3134793,1109000,1109000,0,1653785,0,2,TRUE,FALSE
"0W194007",2023,"김영주",3038430,0,3038430,851000,851000,0,1836501,0,2,TRUE,FALSE
"0WL9321T",2020,"유정주",270137,155097,115040,175000,175000,0,69311,0,2,TRUE,FALSE
"0WL9321T",2021,"유정주",370911,134724,236187,175000,175000,0,78893,0,3,TRUE,FALSE
"0WL9321T",2022,"유정주",388303,110425,277878,175000,175000,0,107948,0,2,TRUE,FALSE
"0WL9321T",2023,"유정주",573249,381221,192028,435000,435000,0,107732,0,4,TRUE,FALSE
"0WM96169",2015,"전정희",1493592,1027894,465698,610223,423293,186930,706188,121007,3,TRUE,FALSE
"0X75519K",2015,"최봉홍",1062737,0,1062737,408000,408000,0,654737,0,1,TRUE,FALSE
"0XK21509",2015,"안효대",1969551,336058,1633493,1366836,1050000,316836,548148,18337,5,TRUE,FALSE
"0YT3774N",2020,"황운하",1299447,0,1299447,693000,693000,0,499039,25234,3,TRUE,FALSE
"0YT3774N",2021,"황운하",1533057,0,1533057,929000,929000,0,510170,26654,3,TRUE,FALSE
"0YT3774N",2022,"황운하",1652133,0,1652133,1039000,1039000,0,501556,20332,3,TRUE,FALSE
"0YT3774N",2023,"황운하",1268583,0,1268583,719000,719000,0,432383,22852,3,TRUE,FALSE
"0YT3774N",2024,"황운하",1375039,0,1375039,793000,793000,0,483171,2,3,TRUE,FALSE
"11N7618M",2016,"이종명",1293726,225000,1068726,1018157,974400,43757,221246,10614,6,TRUE,FALSE
"11N7618M",2017,"이종명",1607727,540000,1067727,1268931,1259700,9231,317586,7460,7,FALSE,FALSE
"11N7618M",2018,"이종명",1736227,540000,1196227,1271430,1261700,9730,445967,0,4,FALSE,FALSE
"11N7618M",2019,"이종명",1892215,630000,1262215,1379780,1369800,9980,497808,0,5,FALSE,FALSE
"14M56632",2015,"강기윤",7332502,602772,6729730,5213137,3530199,1682938,826994,1002980,6,TRUE,FALSE
